Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio
10/1/2005,34.3654,19.8826,3.1111,15.6056,9.8344,1.3175,13.8271,17.3889,10.1936,0.6181,19.8119,14.2443,4.5438
9/1/2005,38.9441,20.4861,2.9642,16.3493,10.3628,1.3127,14.8443,17.8413,10.4193,0.6342,20.8531,14.826,4.7253
8/1/2005,35.4226,18.0253,2.6962,16.9253,10.6896,1.3589,15.3673,19.5833,11.3338,0.6961,20.7393,14.8757,4.6995
7/1/2005,30.5723,14.8845,2.327,15.0474,9.7179,1.2082,13.6622,19.5935,11.6377,0.6999,20.1691,14.5951,4.5803
6/1/2005,43.2621,21.763,2.8029,15.1921,8.9499,1.2322,12.587,19.1992,11.5546,0.6858,21.5604,15.6021,4.8963
5/1/2005,39.2369,19.1313,2.5421,15.359,9.0376,1.2458,12.7253,19.1626,11.5354,0.6845,20.9855,15.186,4.7657
4/1/2005,45.3411,23.0372,2.9376,18.3753,10.7382,1.4904,15.2243,20.7925,12.762,0.7479,20.1304,14.5811,4.5716
3/1/2005,70.1998,36.1368,3.5088,18.8548,10.7718,1.5351,13.4671,21.4149,13.1062,0.7703,20.7767,14.9263,4.7501
2/1/2005,60.169,29.2706,3.0074,19.0259,11.0596,1.549,13.5893,21.7427,13.2848,0.7821,20.1408,14.4713,4.6048
1/1/2005,50.3886,23.259,2.5186,20.0768,11.6255,1.6346,14.3399,22.7672,14.1999,0.815,20.2136,14.5234,4.6214
12/1/2004,90.8455,41.1751,3.0123,19.6969,11.2864,1.6047,12.7437,22.4397,14.0422,0.8033,19.0825,13.7648,4.3838
11/1/2004,70.9964,29.7861,2.3542,18.7584,10.7877,1.5283,12.1366,23.2414,14.4834,0.832,19.7379,14.2326,4.5343
10/1/2004,52.5021,19.1745,1.7409,17.9203,10.4024,1.46,11.5943,23.75,14.4514,0.8447,19.4417,14.0606,4.4663
9/1/2004,62.7091,22.3171,1.653,17.8571,10.4035,1.4828,11.5065,23.5134,14.4041,0.8363,21.1896,15.6929,5.002
8/1/2004,58.8,19.4286,1.55,18.359,10.6701,1.5245,11.8299,23.6652,14.4867,0.8417,20.7867,15.4571,4.9069
7/1/2004,59.1636,19.6302,1.5595,18.5867,10.851,1.5434,11.9766,24.6542,14.8123,0.8658,23.9242,17.7606,5.6476
6/1/2004,65.2558,20.5067,1.4188,19.4524,11.0339,1.5884,12.7273,26.0421,15.6208,0.9145,25.0488,18.4883,5.8241
