Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio,AAPL_returns,IBM_returns,WMT_returns,KO_returns
2018-04-01,16.3576,9.2426,3.4675,10.7048,10.5723,1.6974,9.6893,20.1746,9.7593,0.5324,20.8879,24.0535,5.2355,0.13076400487986217,-0.025179490201261423,-0.06692326838981022,-0.004860148417458854
2018-03-01,18.5177,9.9912,3.8436,11.2136,10.7554,1.7534,10.277,20.4104,9.8588,0.5386,21.3076,23.6962,5.0987,-0.015019943941354086,-0.05520439985835757,0.00019585559164814192,0.0037172213037393043
2018-02-01,17.4063,9.2894,3.6129,11.78,11.2576,1.8419,10.796,24.1723,11.4459,0.6379,23.462,25.7365,5.6143,-0.05421026786779093,-0.0057069111151584195,-0.011554146206794513,0.004858793132774597
2018-01-01,17.5935,9.4128,3.6518,11.0402,10.6606,1.7263,10.1181,22.5457,10.2047,0.6029,22.619,24.9283,5.4125,0.0638477269724953,-0.04807597195288105,-0.1556286095808168,-0.09182584144612516
2017-12-01,18.8694,10.1973,3.9181,11.1049,10.4983,1.7622,11.7796,22.1986,10.1408,0.5937,22.9514,24.1142,5.2537,-0.010636568035487515,0.06700561818029405,0.08518296725400054,0.037270832971235235
2017-11-01,18.5609,10.0686,3.8541,11.1114,10.5036,1.7633,11.7865,19.9338,9.2348,0.5331,23.0567,24.2137,5.2778,-0.011705999164770331,0.0063874697405938985,0.015632851123769997,0.0106219322383585
2017-10-01,16.9226,8.9908,3.5139,10.4637,10.0323,1.6605,11.0994,17.922,8.2986,0.4862,22.5703,23.7772,5.1664,0.016623673439523978,-0.0005842250557269724,0.11361814126002279,-0.004567439780635452
2017-09-01,18.657,9.8841,3.8698,10.3494,9.8983,1.646,10.4563,17.906,8.2922,0.4858,22.9073,23.721,5.0341,0.09680765916827871,0.0618970876525502,0.11735330557720003,0.02967929996853025
2017-08-01,16.9198,8.8636,3.5095,10.468,9.9952,1.6649,10.5762,18.3463,8.5331,0.4977,23.0532,23.8564,5.0662,-0.05655370059261766,0.0250496663290114,0.007192744857277278,-0.011854967996376198
2017-07-01,16.384,8.5138,3.3983,11.1308,10.6101,1.7703,11.2459,17.3977,8.1041,0.4772,22.5553,23.4299,4.9568,0.10266937316465286,-0.011336460815346117,-0.02400335617141547,-0.00632654781851727
2017-06-01,17.8795,9.1537,3.688,11.0315,10.3812,1.7458,11.3949,18.069,8.4118,0.4957,24.0941,21.4456,4.8132,0.03270361656918208,-0.059545957409062544,0.056950571819440965,0.030484638138825293
2017-05-01,16.8132,8.5397,3.4681,11.5852,10.8269,1.8334,11.9668,17.2828,8.0973,0.4741,22.8648,20.4647,4.5676,-0.05332236941724644,0.017707817070716336,-0.03070683507248262,-0.013635276242888295
2017-04-01,16.8144,8.5405,3.4683,12.5862,11.6728,1.9919,13.0008,16.6467,7.8315,0.4599,22.4885,20.2462,4.4925,0.06341823846220618,-0.04778831257780791,0.045490955023955504,0.05376594909867616
2017-03-01,16.3957,8.0313,3.3852,12.488,12.4204,2.0528,12.1481,16.3811,7.8121,0.4526,21.9396,19.5736,4.3277,-6.95439753733984e-05,-0.07953376145962476,0.050676767856028704,0.025703535836428593
2017-02-01,14.5238,6.8745,2.9987,12.12,12.1026,1.9923,11.79,15.4134,7.42,0.4259,21.7357,19.4906,4.2875,0.053236051766436754,-0.023929790840778065,0.016213182145280447,0.011439625605912829
2017-01-01,13.8619,6.5813,2.8621,11.5276,11.591,1.8949,11.2138,15.292,7.7599,0.4468,21.6782,19.445,4.2761,0.12888361602417442,0.030368640505960665,0.06278109267035403,0.009381845878909889
2016-12-01,13.4513,6.2212,2.8102,11.4163,11.0732,1.8562,10.0109,15.5819,7.9169,0.4553,20.9836,18.4089,4.1109,0.04774616427522238,0.05138878927484525,-0.02752226939800928,0.00265315518899234
2016-11-01,13.8189,6.4495,2.887,10.816,10.57,1.7586,9.4845,15.4912,7.8863,0.4526,22.0497,19.2399,4.3198,0.05333570087198103,0.03252277752645427,-0.018600091387595996,0.03619607029557015
2016-10-01,13.7593,6.5024,2.8745,11.1791,10.9236,1.8176,9.803,15.9234,7.825,0.4713,22.0081,19.2197,4.3116,-0.02659862267212465,0.055501330833663154,0.005855568461704763,-0.04834932936829328
2016-09-01,12.4567,5.7479,2.6713,10.805,10.786,1.8263,9.8934,15.7733,7.7622,0.4669,22.4051,19.5781,4.3523,0.0043347368131154695,-0.03248300020365835,-0.02911788417064498,0.010075472012037512
2016-08-01,12.2348,5.6102,2.6237,10.9233,10.887,1.8463,10.0017,16.1111,7.9545,0.4769,22.5082,19.6579,4.3723,0.07127580365505803,0.008445617373455505,0.01642902563213644,-0.025558366399152543
2016-07-01,11.2239,5.098,2.4069,10.3221,10.4117,1.7447,9.4512,16.0866,8.0917,0.4821,22.993,20.9864,4.4878,0.01813659366263365,-0.01083313481456294,-0.02096755985259613,-0.004583768853124726
2016-06-01,11.1572,5.0182,2.46,9.7924,9.7712,1.7662,9.3483,15.5932,7.9287,0.4673,22.6227,20.6864,4.4155,0.09006281469503863,0.058242278189854835,-0.0006847595310962573,-0.03012166587798848
2016-05-01,10.4735,4.5912,2.3092,9.2956,9.3395,1.6766,8.874,14.7318,7.5593,0.4415,22.7242,20.7686,4.4353,-0.036830808823202554,-0.0032212129035696924,0.039200858186376086,0.016367611045566388
2016-04-01,12.1773,5.7485,2.6849,9.6466,9.6525,1.7399,9.209,14.9243,7.6315,0.4562,22.8306,21.0541,4.5575,0.06528663587091232,0.05344678743049314,0.058471571463709626,-0.004464385793955916
2016-03-01,10.3108,4.6301,2.3333,8.2461,7.9419,1.4981,9.1098,14.4558,7.5438,0.4419,21.2262,19.738,4.2372,-0.139921080690099,-0.036381787935794496,-0.016425375385564878,-0.02674297219227173
2016-02-01,10.3801,4.6736,2.349,7.8534,7.6851,1.4268,8.676,14.4601,7.5457,0.442,21.1229,19.7312,4.2166,0.1333271901088744,0.1676485281246911,0.03240913859014061,0.07558534121295546
2016-01-01,11.2247,5.2431,2.5401,8.6608,8.3449,1.5735,9.568,13.1006,6.936,0.4082,21.1426,19.7475,4.2205,-0.006677500095815581,0.05000386996608919,-0.0003015326015637365,0.00489256214636824
